Sector,Area,Basis,Measure,Units,Year,Value
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2008,0.0
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2009,-2.4
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2010,0.2
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2011,3.7
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2012,-1.0
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2013,2.0
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2014,3.1
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2015,7.3
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2016,2.1
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2017,3.7
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2018,-2.6
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2019,2.5
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2020,5.5
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2021,4.5
Private nonfarm,South Dakota,All workers,Real labor compensation,% Change from previous year,2022,0.1
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2008,-2.5
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2009,-6.1
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2010,-1.6
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2011,0.4
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2012,2.6
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2013,1.3
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2014,2.8
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2015,5.2
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2016,2.1
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2017,4.0
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2018,7.3
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2019,0.2
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2020,2.3
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2021,5.6
Private nonfarm,Tennessee,All workers,Real labor compensation,% Change from previous year,2022,2.7
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2008,0.2
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2009,-3.1
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2010,0.0
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2011,3.6
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2012,5.8
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2013,2.1
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2014,5.3
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2015,4.6
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2016,0.1
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2017,3.9
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2018,3.7
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2019,3.2
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2020,-1.8
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2021,5.2
Private nonfarm,Texas,All workers,Real labor compensation,% Change from previous year,2022,5.2
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2008,-1.4
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2009,-6.9
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2010,1.0
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2011,-0.2
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2012,3.7
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2013,6.2
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2014,3.1
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2015,6.6
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2016,6.1
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2017,1.9
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2018,9.4
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2019,4.1
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2020,6.4
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2021,5.5
Private nonfarm,Utah,All workers,Real labor compensation,% Change from previous year,2022,3.8
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2008,-0.1
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2009,-4.6
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2010,1.1
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2011,2.9
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2012,1.3
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2013,0.9
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2014,-0.4
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2015,3.6
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2016,1.7
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2017,-0.4
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2018,1.1
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2019,1.5
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2020,-4.3
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2021,5.4
Private nonfarm,Vermont,All workers,Real labor compensation,% Change from previous year,2022,2.9
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2008,-3.1
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2009,-0.9
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2010,-1.1
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2011,-0.1
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2012,3.2
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2013,-1.1
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2014,0.8
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2015,2.8
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2016,1.5
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2017,4.6
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2018,3.3
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2019,3.9
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2020,0.6
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2021,1.0
Private nonfarm,Virginia,All workers,Real labor compensation,% Change from previous year,2022,0.2
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2008,-1.2
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2009,-3.8
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2010,2.6
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2011,0.3
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2012,5.0
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2013,1.7
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2014,3.5
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2015,5.3
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2016,3.3
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2017,4.2
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2018,6.1
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2019,5.1
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2020,2.6
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2021,4.1
Private nonfarm,Washington,All workers,Real labor compensation,% Change from previous year,2022,0.4
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2008,1.4
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2009,-0.1
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2010,-3.9
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2011,3.4
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2012,2.5
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2013,-0.9
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2014,-2.3
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2015,1.5
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2016,-4.6
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2017,4.3
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2018,5.6
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2019,-1.8
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2020,-5.7
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2021,-1.2
Private nonfarm,West Virginia,All workers,Real labor compensation,% Change from previous year,2022,1.8
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2008,-1.1
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2009,-4.7
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2010,-2.0
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2011,2.3
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2012,0.5
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2013,2.9
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2014,0.8
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2015,4.9
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2016,2.0
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2017,2.6
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2018,1.8
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2019,1.1
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2020,0.6
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2021,2.2
Private nonfarm,Wisconsin,All workers,Real labor compensation,% Change from previous year,2022,-1.2
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2008,4.7
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2009,-10.2
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2010,1.0
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2011,-1.1
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2012,3.7
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2013,1.0
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2014,4.6
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2015,-3.7
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2016,-8.6
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2017,1.0
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2018,8.7
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2019,1.4
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2020,-3.1
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2021,3.9
Private nonfarm,Wyoming,All workers,Real labor compensation,% Change from previous year,2022,0.2
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2008,-2.6
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2009,-6.9
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2010,-0.6
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2011,2.0
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2012,2.2
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2013,1.3
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2014,2.2
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2015,6.2
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2016,0.7
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2017,2.7
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2018,0.7
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2019,1.7
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2020,-1.0
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2021,2.3
Private nonfarm,Midwest,All workers,Real labor compensation,% Change from previous year,2022,0.6
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2008,-1.8
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2009,-5.2
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2010,2.1
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2011,0.4
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2012,2.0
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2013,0.5
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2014,3.2
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2015,4.1
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2016,0.3
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2017,1.6
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2018,2.2
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2019,2.7
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2020,-2.5
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2021,5.1
Private nonfarm,Northeast,All workers,Real labor compensation,% Change from previous year,2022,0.5
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2008,-2.4
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2009,-3.0
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2010,-1.2
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2011,1.0
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2012,3.6
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2013,1.3
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2014,3.7
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2015,4.8
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2016,1.5
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2017,3.7
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2018,3.9
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2019,3.0
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2020,-0.9
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2021,4.7
Private nonfarm,South,All workers,Real labor compensation,% Change from previous year,2022,3.0
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2008,-3.3
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2009,-6.1
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2010,1.5
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2011,0.9
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2012,3.7
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2013,2.8
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2014,4.2
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2015,5.6
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2016,3.5
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2017,2.6
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2018,4.3
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2019,3.5
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2020,-0.2
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2021,7.3
Private nonfarm,West,All workers,Real labor compensation,% Change from previous year,2022,-0.5
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2007,110.695
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2008,105.272
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2009,94.898
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2010,94.967
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2011,95.735
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2012,100.000
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2013,101.708
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2014,100.632
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2015,101.917
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2016,104.127
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2017,104.842
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2018,106.252
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2019,107.274
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2020,102.667
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2021,106.519
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),2022,109.094
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2007,96.440
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2008,95.524
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2009,93.173
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2010,94.690
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2011,100.611
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2012,100.000
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2013,100.812
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2014,97.954
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2015,97.838
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2016,94.610
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2017,93.909
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2018,94.780
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2019,97.833
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2020,86.760
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2021,90.106
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),2022,94.355
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2007,110.195
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2008,105.821
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2009,98.331
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2010,97.886
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2011,97.840
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2012,100.000
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2013,102.080
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2014,103.232
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2015,107.315
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2016,109.347
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2017,113.628
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2018,117.614
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2019,120.628
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2020,117.304
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2021,121.931
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),2022,128.279
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2007,104.799
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2008,104.419
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2009,97.641
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2010,96.722
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2011,99.427
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2012,100.000
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2013,99.047
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2014,99.951
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2015,101.478
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2016,102.981
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2017,106.419
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2018,107.563
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2019,108.580
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2020,104.425
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2021,110.585
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),2022,113.595
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2007,106.921
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2008,103.185
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2009,95.269
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2010,94.904
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2011,96.994
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2012,100.000
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2013,103.723
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2014,106.844
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2015,109.802
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2016,112.358
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2017,114.423
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2018,117.217
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2019,117.263
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2020,106.863
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2021,113.192
Private nonfarm,California,All workers,Hours worked,Index (2012=100),2022,118.698
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2007,103.213
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2008,102.956
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2009,94.459
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2010,93.754
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2011,96.273
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2012,100.000
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2013,102.055
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2014,105.186
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2015,105.987
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2016,107.493
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2017,109.698
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2018,114.152
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2019,114.628
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2020,108.013
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2021,114.272
Private nonfarm,Colorado,All workers,Hours worked,Index (2012=100),2022,118.016
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2007,103.464
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2008,101.342
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2009,94.525
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2010,94.382
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2011,97.330
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2012,100.000
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2013,98.158
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2014,99.696
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2015,99.887
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2016,101.902
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2017,99.879
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2018,101.873
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2019,101.154
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2020,94.780
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2021,98.916
Private nonfarm,Connecticut,All workers,Hours worked,Index (2012=100),2022,100.470
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2007,109.300
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2008,106.238
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2009,96.915
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2010,94.567
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2011,98.452
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2012,100.000
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2013,100.802
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2014,103.364
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2015,105.719
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2016,108.170
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2017,107.566
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2018,109.376
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2019,110.192
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2020,100.175
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2021,106.263
Private nonfarm,Delaware,All workers,Hours worked,Index (2012=100),2022,110.787
Private nonfarm,District of Columbia,All workers,Hours worked,Index (2012=100),2007,96.672
Private nonfarm,District of Columbia,All workers,Hours worked,Index (2012=100),2008,95.466
Private nonfarm,District of Columbia,All workers,Hours worked,Index (2012=100),2009,95.147
Private nonfarm,District of Columbia,All workers,Hours worked,Index (2012=100),2010,93.495
