"Annual labor productivity by state and region, N.A. = data not available",,,,,,,,,,,,,,,,,,,,
"Data released May 25, 2023; Bureau of Labor Statistics, Office of Productivity and Technology",,,,,,,,,,,,,,,,,,,,
Sector,Area,Basis,Measure,Units,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Private nonfarm,Georgia,All workers,Employment,% Change from previous year,N.A.,-1.5,-6.0,-1.9,1.7,1.9,1.0,3.9,2.6,3.8,2.9,1.1,2.1,-5.0,6.1,4.4
Private nonfarm,Georgia,All workers,Output per worker,% Change from previous year,N.A.,-1.3,0.8,4.1,1.1,-0.2,1.6,0.4,1.7,0.7,0.4,2.1,1.9,1.0,2.1,-1.3
Private nonfarm,Georgia,All workers,Real hourly compensation,% Change from previous year,N.A.,-1.3,7.2,-3.4,1.3,-2.9,0.8,1.1,2.5,0.8,1.7,0.5,1.6,6.2,-1.8,-0.4
Private nonfarm,Georgia,All workers,Hourly compensation,% Change from previous year,N.A.,2.6,4.0,1.2,3.3,0.9,1.9,2.8,2.4,2.5,3.6,2.3,3.0,7.6,4.4,7.7
Private nonfarm,Georgia,All workers,Value-added output,% Change from previous year,N.A.,-1.6,-3.0,2.7,4.0,4.2,4.6,6.3,6.5,6.1,4.5,5.2,6.5,-2.9,11.9,9.7
Private nonfarm,Georgia,All workers,Value-added output price deflator,% Change from previous year,N.A.,1.2,2.4,0.6,1.2,2.4,2.0,2.0,2.1,1.5,1.2,1.9,2.3,1.3,3.2,6.4
Private nonfarm,Georgia,All workers,Labor compensation,% Change from previous year,N.A.,-0.3,-4.0,-0.5,4.8,5.0,2.9,6.8,5.2,5.5,5.8,4.0,5.0,0.6,12.2,12.0
Private nonfarm,Georgia,All workers,Real labor compensation,% Change from previous year,N.A.,-4.0,-1.1,-5.0,2.7,1.0,1.8,5.0,5.3,3.7,3.8,2.2,3.6,-0.7,5.5,3.5
Private nonfarm,Georgia,All workers,Unit labor costs,% Change from previous year,N.A.,2.5,1.3,-2.6,1.9,3.1,0.3,2.4,0.8,0.9,2.4,0.8,0.9,5.0,3.5,8.7
Private nonfarm,Hawaii,All workers,Labor productivity,Index (2012=100),99.508,97.334,100.948,102.750,103.421,100.000,102.972,100.015,104.545,106.722,109.599,112.011,111.050,113.808,114.535,108.432
Private nonfarm,Hawaii,All workers,Real value-added output,Index (2012=100),100.049,96.645,92.771,95.176,97.471,100.000,102.616,103.130,107.963,110.297,114.276,117.496,115.816,97.883,106.672,108.591
Private nonfarm,Hawaii,All workers,Hours worked,Index (2012=100),100.544,99.292,91.900,92.629,94.247,100.000,99.654,103.115,103.270,103.350,104.268,104.897,104.292,86.007,93.134,100.147
Private nonfarm,Hawaii,All workers,Employment,Index (2012=100),104.858,103.771,97.430,96.088,96.370,100.000,101.534,103.976,105.253,106.981,107.218,108.371,108.476,90.621,96.505,102.288
Private nonfarm,Hawaii,All workers,Output per worker,Index (2012=100),95.414,93.133,95.218,99.051,101.142,100.000,101.065,99.186,102.575,103.100,106.583,108.420,106.767,108.014,110.535,106.162
Private nonfarm,Hawaii,All workers,Real hourly compensation,Index (2012=100),103.164,103.264,102.701,103.997,101.659,100.000,100.192,100.673,104.913,108.872,108.820,110.144,111.749,120.430,116.689,110.959
Private nonfarm,Hawaii,All workers,Hourly compensation,Index (2012=100),93.498,97.222,98.520,99.420,100.225,100.000,104.000,105.345,110.622,115.421,117.539,122.246,127.213,140.125,142.913,147.023
Private nonfarm,Hawaii,All workers,Value-added output price deflator,Index (2012=100),92.176,93.511,95.267,95.873,97.448,100.000,101.949,104.295,106.986,108.517,110.235,112.648,115.571,116.512,121.115,130.001
Private nonfarm,Hawaii,All workers,Labor compensation,Index (2012=100),94.007,96.534,90.540,92.091,94.458,100.000,103.641,108.626,114.239,119.287,122.555,128.232,132.674,120.517,133.101,147.239
Private nonfarm,Hawaii,All workers,Real labor compensation,Index (2012=100),103.725,102.533,94.383,96.331,95.810,100.000,99.845,103.809,108.344,112.519,113.464,115.537,116.546,103.578,108.677,111.121
Private nonfarm,Hawaii,All workers,Unit labor costs,Index (2012=100),93.960,99.885,97.595,96.759,96.909,100.000,100.999,105.329,105.812,108.151,107.245,109.137,114.555,123.123,124.776,135.590
Private nonfarm,Hawaii,All workers,Employment,Thousands of jobs,562.5,556.7,522.7,515.5,517.0,536.4,544.7,557.8,564.6,573.9,575.2,581.3,581.9,486.1,517.7,548.7
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,912.771,901.411,834.302,840.915,855.604,907.835,904.698,936.114,937.519,938.245,946.580,952.288,946.803,780.800,845.505,909.166
Private nonfarm,Hawaii,All workers,Real labor compensation,Millions of 2012 dollars,"26,671.528","26,365.017","24,269.273","24,770.240","24,636.283","25,713.703","25,673.937","26,693.155","27,859.156","28,932.708","29,175.759","29,708.877","29,968.176","26,633.850","27,944.993","28,573.378"
Private nonfarm,Hawaii,All workers,Value-added output,Millions of current dollars,"44,776.274","43,878.950","42,911.090","44,303.637","46,117.344","48,553.139","50,794.128","52,223.386","56,081.840","58,113.763","61,163.628","64,263.482","64,988.358","55,372.635","62,728.307","68,542.242"
Private nonfarm,Hawaii,All workers,Labor compensation,Millions of current dollars,"26,331.771","27,039.668","25,360.687","25,795.204","26,458.354","28,010.572","29,030.418","30,426.789","31,998.882","33,413.080","34,328.488","35,918.422","37,162.625","33,757.453","37,282.296","41,242.455"
Private nonfarm,Hawaii,All workers,Real hourly compensation,2012 dollars per hour worked,29.220,29.249,29.089,29.456,28.794,28.324,28.378,28.515,29.716,30.837,30.822,31.197,31.652,34.111,33.051,31.428
Private nonfarm,Hawaii,All workers,Hourly compensation,Current dollars per hour worked,28.848,29.997,30.398,30.675,30.924,30.854,32.089,32.503,34.131,35.612,36.266,37.718,39.251,43.234,44.095,45.363
Private nonfarm,Hawaii,All workers,Labor productivity,% Change from previous year,N.A.,-2.2,3.7,1.8,0.7,-3.3,3.0,-2.9,4.5,2.1,2.7,2.2,-0.9,2.5,0.6,-5.3
Private nonfarm,Hawaii,All workers,Real value-added output,% Change from previous year,N.A.,-3.4,-4.0,2.6,2.4,2.6,2.6,0.5,4.7,2.2,3.6,2.8,-1.4,-15.5,9.0,1.8
Private nonfarm,Hawaii,All workers,Hours worked,% Change from previous year,N.A.,-1.2,-7.4,0.8,1.7,6.1,-0.3,3.5,0.2,0.1,0.9,0.6,-0.6,-17.5,8.3,7.5
Private nonfarm,Hawaii,All workers,Employment,% Change from previous year,N.A.,-1.0,-6.1,-1.4,0.3,3.8,1.5,2.4,1.2,1.6,0.2,1.1,0.1,-16.5,6.5,6.0
Private nonfarm,Hawaii,All workers,Output per worker,% Change from previous year,N.A.,-2.4,2.2,4.0,2.1,-1.1,1.1,-1.9,3.4,0.5,3.4,1.7,-1.5,1.2,2.3,-4.0
Private nonfarm,Hawaii,All workers,Real hourly compensation,% Change from previous year,N.A.,0.1,-0.5,1.3,-2.2,-1.6,0.2,0.5,4.2,3.8,0.0,1.2,1.5,7.8,-3.1,-4.9
Private nonfarm,Hawaii,All workers,Hourly compensation,% Change from previous year,N.A.,4.0,1.3,0.9,0.8,-0.2,4.0,1.3,5.0,4.3,1.8,4.0,4.1,10.1,2.0,2.9
Private nonfarm,Hawaii,All workers,Value-added output,% Change from previous year,N.A.,-2.0,-2.2,3.2,4.1,5.3,4.6,2.8,7.4,3.6,5.2,5.1,1.1,-14.8,13.3,9.3
Private nonfarm,Hawaii,All workers,Value-added output price deflator,% Change from previous year,N.A.,1.4,1.9,0.6,1.6,2.6,1.9,2.3,2.6,1.4,1.6,2.2,2.6,0.8,4.0,7.3
Private nonfarm,Hawaii,All workers,Labor compensation,% Change from previous year,N.A.,2.7,-6.2,1.7,2.6,5.9,3.6,4.8,5.2,4.4,2.7,4.6,3.5,-9.2,10.4,10.6
Private nonfarm,Hawaii,All workers,Real labor compensation,% Change from previous year,N.A.,-1.1,-7.9,2.1,-0.5,4.4,-0.2,4.0,4.4,3.9,0.8,1.8,0.9,-11.1,4.9,2.2
Private nonfarm,Hawaii,All workers,Unit labor costs,% Change from previous year,N.A.,6.3,-2.3,-0.9,0.2,3.2,1.0,4.3,0.5,2.2,-0.8,1.8,5.0,7.5,1.3,8.7
Private nonfarm,Idaho,All workers,Labor productivity,Index (2012=100),90.058,95.963,99.610,102.584,100.417,100.000,103.085,103.669,100.909,103.153,100.569,103.301,106.554,107.748,111.096,115.561
Private nonfarm,Idaho,All workers,Real value-added output,Index (2012=100),100.537,102.891,96.483,99.311,100.099,100.000,104.429,108.124,109.436,113.352,117.058,124.427,131.063,133.753,147.293,155.182
Private nonfarm,Idaho,All workers,Hours worked,Index (2012=100),111.635,107.220,96.861,96.809,99.683,100.000,101.304,104.297,108.450,109.887,116.396,120.451,123.001,124.135,132.582,134.286
Private nonfarm,Idaho,All workers,Employment,Index (2012=100),109.116,105.298,97.236,97.202,98.783,100.000,102.317,104.478,108.300,111.455,114.884,118.180,122.305,124.032,131.789,135.090
Private nonfarm,Idaho,All workers,Output per worker,Index (2012=100),92.137,97.714,99.225,102.170,101.332,100.000,102.064,103.490,101.049,101.702,101.892,105.286,107.160,107.837,111.764,114.873
Private nonfarm,Idaho,All workers,Real hourly compensation,Index (2012=100),102.035,100.439,102.067,105.867,100.531,100.000,102.983,102.399,104.313,108.339,106.393,110.857,112.827,121.207,121.139,124.113
Private nonfarm,Idaho,All workers,Hourly compensation,Index (2012=100),93.592,95.705,97.190,100.000,99.355,100.000,104.362,106.362,108.809,112.483,114.788,118.808,124.205,132.862,140.382,155.607
Private nonfarm,Idaho,All workers,Value-added output price deflator,Index (2012=100),93.329,94.226,96.359,96.667,97.734,100.000,101.639,103.465,105.387,106.852,108.348,110.437,113.142,115.674,120.363,129.722
Private nonfarm,Idaho,All workers,Labor compensation,Index (2012=100),104.482,102.614,94.139,96.809,99.041,100.000,105.723,110.933,118.004,123.605,133.608,143.106,152.773,164.928,186.120,208.959
Private nonfarm,Idaho,All workers,Real labor compensation,Index (2012=100),113.907,107.690,98.863,102.489,100.213,100.000,104.325,106.800,113.128,119.051,123.836,133.528,138.779,150.460,160.608,166.667
Private nonfarm,Idaho,All workers,Unit labor costs,Index (2012=100),103.924,99.731,97.571,97.481,98.942,100.000,101.239,102.598,107.829,109.045,114.138,115.012,116.565,123.307,126.360,134.654
Private nonfarm,Idaho,All workers,Employment,Thousands of jobs,623.6,601.8,555.7,555.5,564.5,571.5,584.7,597.1,618.9,637.0,656.6,675.4,699.0,708.8,753.2,772.0
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,"1,061.701","1,019.707",921.190,920.702,948.036,951.046,963.447,991.916,"1,031.408","1,045.077","1,106.975","1,145.546","1,169.797","1,180.581","1,260.913","1,277.125"
Private nonfarm,Idaho,All workers,Real labor compensation,Millions of 2012 dollars,"30,741.884","29,064.044","26,681.540","27,660.356","27,046.001","26,988.505","28,155.851","28,823.609","30,531.473","32,130.087","33,421.556","36,037.331","37,454.349","40,606.944","43,345.695","44,980.909"
Private nonfarm,Idaho,All workers,Value-added output,Millions of current dollars,"38,995.159","40,291.644","38,637.716","39,897.196","40,657.995","41,559.232","44,111.265","46,492.521","47,930.864","50,336.084","52,709.495","57,108.002","61,626.784","64,299.496","73,678.658","83,661.050"
Private nonfarm,Idaho,All workers,Labor compensation,Millions of current dollars,"26,313.014","25,842.665","23,708.177","24,380.695","24,942.700","25,184.284","26,625.483","27,937.745","29,718.411","31,128.974","33,648.164","36,040.173","38,474.783","41,535.850","46,873.109","52,624.777"
Private nonfarm,Idaho,All workers,Real hourly compensation,2012 dollars per hour worked,28.955,28.502,28.964,30.043,28.528,28.378,29.224,29.059,29.602,30.744,30.192,31.459,32.018,34.396,34.376,35.220
Private nonfarm,Idaho,All workers,Hourly compensation,Current dollars per hour worked,24.784,25.343,25.736,26.481,26.310,26.481,27.636,28.165,28.813,29.786,30.396,31.461,32.890,35.183,37.174,41.206
Private nonfarm,Idaho,All workers,Labor productivity,% Change from previous year,N.A.,6.6,3.8,3.0,-2.1,-0.4,3.1,0.6,-2.7,2.2,-2.5,2.7,3.1,1.1,3.1,4.0
Private nonfarm,Idaho,All workers,Real value-added output,% Change from previous year,N.A.,2.3,-6.2,2.9,0.8,-0.1,4.4,3.5,1.2,3.6,3.3,6.3,5.3,2.1,10.1,5.4
Private nonfarm,Idaho,All workers,Hours worked,% Change from previous year,N.A.,-4.0,-9.7,-0.1,3.0,0.3,1.3,3.0,4.0,1.3,5.9,3.5,2.1,0.9,6.8,1.3
Private nonfarm,Idaho,All workers,Employment,% Change from previous year,N.A.,-3.5,-7.7,0.0,1.6,1.2,2.3,2.1,3.7,2.9,3.1,2.9,3.5,1.4,6.3,2.5
Private nonfarm,Idaho,All workers,Output per worker,% Change from previous year,N.A.,6.1,1.5,3.0,-0.8,-1.3,2.1,1.4,-2.4,0.6,0.2,3.3,1.8,0.6,3.6,2.8
Private nonfarm,Idaho,All workers,Real hourly compensation,% Change from previous year,N.A.,-1.6,1.6,3.7,-5.0,-0.5,3.0,-0.6,1.9,3.9,-1.8,4.2,1.8,7.4,-0.1,2.5
Private nonfarm,Idaho,All workers,Hourly compensation,% Change from previous year,N.A.,2.3,1.6,2.9,-0.6,0.6,4.4,1.9,2.3,3.4,2.0,3.5,4.5,7.0,5.7,10.8
Private nonfarm,Idaho,All workers,Value-added output,% Change from previous year,N.A.,3.3,-4.1,3.3,1.9,2.2,6.1,5.4,3.1,5.0,4.7,8.3,7.9,4.3,14.6,13.5
Private nonfarm,Idaho,All workers,Value-added output price deflator,% Change from previous year,N.A.,1.0,2.3,0.3,1.1,2.3,1.6,1.8,1.9,1.4,1.4,1.9,2.4,2.2,4.1,7.8
Private nonfarm,Idaho,All workers,Labor compensation,% Change from previous year,N.A.,-1.8,-8.3,2.8,2.3,1.0,5.7,4.9,6.4,4.7,8.1,7.1,6.8,8.0,12.8,12.3
Private nonfarm,Idaho,All workers,Real labor compensation,% Change from previous year,N.A.,-5.5,-8.2,3.7,-2.2,-0.2,4.3,2.4,5.9,5.2,4.0,7.8,3.9,8.4,6.7,3.8
Private nonfarm,Idaho,All workers,Unit labor costs,% Change from previous year,N.A.,-4.0,-2.2,-0.1,1.5,1.1,1.2,1.3,5.1,1.1,4.7,0.8,1.4,5.8,2.5,6.6
Private nonfarm,Illinois,All workers,Labor productivity,Index (2012=100),94.334,94.287,96.831,98.544,99.160,100.000,99.105,100.536,101.480,101.065,100.789,102.795,104.312,105.255,109.573,109.665
Private nonfarm,Illinois,All workers,Real value-added output,Index (2012=100),97.797,95.571,92.622,94.240,96.793,100.000,99.330,102.410,104.977,104.458,105.018,108.101,109.119,102.616,110.195,112.809
Private nonfarm,Illinois,All workers,Hours worked,Index (2012=100),103.672,101.361,95.653,95.632,97.612,100.000,100.228,101.864,103.446,103.357,104.197,105.162,104.608,97.493,100.568,102.867
Private nonfarm,Illinois,All workers,Employment,Index (2012=100),104.847,103.006,97.903,97.111,98.374,100.000,100.759,102.288,104.299,104.798,105.684,106.930,107.047,99.357,101.729,105.497
Private nonfarm,Illinois,All workers,Output per worker,Index (2012=100),93.276,92.782,94.606,97.044,98.393,100.000,98.582,100.119,100.650,99.676,99.371,101.096,101.936,103.280,108.322,106.931
Private nonfarm,Illinois,All workers,Real hourly compensation,Index (2012=100),103.225,102.154,100.773,100.309,99.279,100.000,100.572,101.616,106.229,105.589,105.977,107.574,110.140,113.979,113.154,111.219
Private nonfarm,Illinois,All workers,Hourly compensation,Index (2012=100),92.253,94.840,94.618,95.761,98.038,100.000,101.430,103.487,107.491,108.908,112.332,116.832,120.593,127.635,133.876,142.362
Private nonfarm,Illinois,All workers,Value-added output price deflator,Index (2012=100),91.554,92.733,94.603,95.452,97.266,100.000,101.859,103.849,106.202,107.497,109.151,111.691,114.065,115.756,120.006,128.045
Private nonfarm,Illinois,All workers,Labor compensation,Index (2012=100),95.640,96.131,90.505,91.579,95.698,100.000,101.662,105.416,111.195,112.564,117.046,122.862,126.150,124.435,134.636,146.443
Private nonfarm,Illinois,All workers,Real labor compensation,Index (2012=100),107.015,103.544,96.393,95.928,96.909,100.000,100.801,103.509,109.889,109.133,110.424,113.127,115.216,111.121,113.797,114.407
Private nonfarm,Illinois,All workers,Unit labor costs,Index (2012=100),97.794,100.586,97.714,97.176,98.868,100.000,102.347,102.935,105.923,107.760,111.453,113.655,115.608,121.262,122.180,129.815
Private nonfarm,Illinois,All workers,Employment,Thousands of jobs,5515.7,5418.8,5150.4,5108.7,5175.1,5260.7,5300.6,5381.1,5486.8,5513.1,5559.7,5625.2,5631.4,5226.9,5351.6,5549.8
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,"9,454.685","9,243.970","8,723.419","8,721.512","8,902.096","9,119.834","9,140.614","9,289.805","9,434.067","9,425.960","9,502.550","9,590.567","9,540.111","8,891.168","9,171.612","9,381.312"
Private nonfarm,Illinois,All workers,Real labor compensation,Millions of 2012 dollars,"364,514.319","352,691.868","328,333.122","326,749.931","330,089.800","340,619.488","343,347.448","352,573.161","374,303.130","371,727.711","376,127.343","385,332.615","392,448.339","378,501.029","387,613.405","389,693.991"
Private nonfarm,Illinois,All workers,Value-added output,Millions of current dollars,"532,461.834","527,038.771","521,079.794","534,942.561","559,874.136","594,682.194","601,681.266","632,452.930","662,994.677","667,764.542","681,678.958","718,012.825","740,183.792","706,390.208","786,409.397","858,996.574"
Private nonfarm,Illinois,All workers,Labor compensation,Millions of current dollars,"329,015.290","330,702.948","311,350.186","315,043.385","329,213.001","344,013.867","349,729.830","362,644.997","382,525.088","387,235.815","402,654.725","422,662.703","433,974.910","428,072.132","463,166.131","503,785.860"
Private nonfarm,Illinois,All workers,Real hourly compensation,2012 dollars per hour worked,38.554,38.154,37.638,37.465,37.080,37.349,37.563,37.953,39.676,39.437,39.582,40.178,41.137,42.570,42.262,41.539
Private nonfarm,Illinois,All workers,Hourly compensation,Current dollars per hour worked,34.799,35.775,35.691,36.123,36.982,37.722,38.261,39.037,40.547,41.082,42.373,44.071,45.490,48.146,50.500,53.701
Private nonfarm,Illinois,All workers,Labor productivity,% Change from previous year,N.A.,0.0,2.7,1.8,0.6,0.8,-0.9,1.4,0.9,-0.4,-0.3,2.0,1.5,0.9,4.1,0.1
Private nonfarm,Illinois,All workers,Real value-added output,% Change from previous year,N.A.,-2.3,-3.1,1.7,2.7,3.3,-0.7,3.1,2.5,-0.5,0.5,2.9,0.9,-6.0,7.4,2.4
Private nonfarm,Illinois,All workers,Hours worked,% Change from previous year,N.A.,-2.2,-5.6,0.0,2.1,2.4,0.2,1.6,1.6,-0.1,0.8,0.9,-0.5,-6.8,3.2,2.3
Private nonfarm,Illinois,All workers,Employment,% Change from previous year,N.A.,-1.8,-5.0,-0.8,1.3,1.7,0.8,1.5,2.0,0.5,0.8,1.2,0.1,-7.2,2.4,3.7
Private nonfarm,Illinois,All workers,Output per worker,% Change from previous year,N.A.,-0.5,2.0,2.6,1.4,1.6,-1.4,1.6,0.5,-1.0,-0.3,1.7,0.8,1.3,4.9,-1.3
Private nonfarm,Illinois,All workers,Real hourly compensation,% Change from previous year,N.A.,-1.0,-1.4,-0.5,-1.0,0.7,0.6,1.0,4.5,-0.6,0.4,1.5,2.4,3.5,-0.7,-1.7
Private nonfarm,Illinois,All workers,Hourly compensation,% Change from previous year,N.A.,2.8,-0.2,1.2,2.4,2.0,1.4,2.0,3.9,1.3,3.1,4.0,3.2,5.8,4.9,6.3
Private nonfarm,Illinois,All workers,Value-added output,% Change from previous year,N.A.,-1.0,-1.1,2.7,4.7,6.2,1.2,5.1,4.8,0.7,2.1,5.3,3.1,-4.6,11.3,9.2
Private nonfarm,Illinois,All workers,Value-added output price deflator,% Change from previous year,N.A.,1.3,2.0,0.9,1.9,2.8,1.9,2.0,2.3,1.2,1.5,2.3,2.1,1.5,3.7,6.7
Private nonfarm,Illinois,All workers,Labor compensation,% Change from previous year,N.A.,0.5,-5.9,1.2,4.5,4.5,1.7,3.7,5.5,1.2,4.0,5.0,2.7,-1.4,8.2,8.8
Private nonfarm,Illinois,All workers,Real labor compensation,% Change from previous year,N.A.,-3.2,-6.9,-0.5,1.0,3.2,0.8,2.7,6.2,-0.7,1.2,2.4,1.8,-3.6,2.4,0.5
Private nonfarm,Illinois,All workers,Unit labor costs,% Change from previous year,N.A.,2.9,-2.9,-0.6,1.7,1.1,2.3,0.6,2.9,1.7,3.4,2.0,1.7,4.9,0.8,6.2
Private nonfarm,Indiana,All workers,Labor productivity,Index (2012=100),94.541,97.512,95.976,102.036,100.344,100.000,100.034,101.619,98.241,99.285,98.964,102.249,101.173,102.973,103.855,103.461
Private nonfarm,Indiana,All workers,Real value-added output,Index (2012=100),100.827,99.987,91.260,98.698,99.049,100.000,101.991,105.741,104.911,107.032,108.587,112.600,113.453,108.654,116.377,118.578
Private nonfarm,Indiana,All workers,Hours worked,Index (2012=100),106.649,102.538,95.087,96.729,98.710,100.000,101.957,104.057,106.790,107.803,109.724,110.123,112.137,105.517,112.057,114.611
Private nonfarm,Indiana,All workers,Employment,Index (2012=100),105.727,102.956,97.124,96.910,98.990,100.000,102.845,104.376,107.119,108.254,109.414,110.522,111.799,106.000,111.226,114.824
Private nonfarm,Indiana,All workers,Output per worker,Index (2012=100),95.365,97.117,93.963,101.845,100.060,100.000,99.169,101.308,97.939,98.871,99.245,101.881,101.479,102.504,104.631,103.269
Private nonfarm,Indiana,All workers,Real hourly compensation,Index (2012=100),100.200,100.223,99.823,98.822,98.664,100.000,99.482,100.122,103.827,104.574,105.997,105.434,105.370,112.436,110.387,110.318
Private nonfarm,Indiana,All workers,Hourly compensation,Index (2012=100),89.780,93.286,93.019,94.362,96.451,100.000,101.245,103.614,106.222,108.249,110.496,114.795,116.917,125.042,129.801,140.342
Private nonfarm,Indiana,All workers,Value-added output price deflator,Index (2012=100),90.034,91.479,94.553,95.034,97.298,100.000,101.294,103.335,105.764,106.496,108.267,110.653,112.307,113.246,117.949,127.587
Private nonfarm,Indiana,All workers,Labor compensation,Index (2012=100),95.749,95.654,88.449,91.275,95.206,100.000,103.226,107.818,113.434,116.696,121.240,126.416,131.107,131.941,145.451,160.848
Private nonfarm,Indiana,All workers,Real labor compensation,Index (2012=100),106.862,102.767,94.919,95.589,97.391,100.000,101.428,104.184,110.876,112.733,116.304,116.108,118.159,118.639,123.696,126.436
Private nonfarm,Indiana,All workers,Unit labor costs,Index (2012=100),94.964,95.667,96.920,92.479,96.120,100.000,101.211,101.964,108.124,109.029,111.652,112.269,115.561,121.431,124.983,135.648
Private nonfarm,Indiana,All workers,Employment,Thousands of jobs,2745.9,2673.9,2522.5,2516.9,2570.9,2597.2,2671.1,2710.8,2782.0,2811.5,2841.6,2870.4,2903.6,2753.0,2888.7,2982.2
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,"4,816.884","4,631.232","4,294.674","4,368.847","4,458.310","4,516.595","4,604.975","4,699.831","4,823.267","4,869.007","4,955.768","4,973.827","5,064.775","4,765.779","5,061.168","5,176.527"
Private nonfarm,Indiana,All workers,Real labor compensation,Millions of 2012 dollars,"157,473.096","151,438.096","139,873.183","140,861.551","143,516.215","147,361.215","149,466.246","153,526.987","163,388.948","166,124.977","171,387.253","171,097.584","174,120.694","174,828.013","182,280.117","186,318.243"
Private nonfarm,Indiana,All workers,Value-added output,Millions of current dollars,"225,880.379","227,593.896","214,710.962","233,391.804","239,801.728","248,827.552","257,064.754","271,888.732","276,094.665","283,624.377","292,533.520","310,029.014","317,044.448","306,174.387","341,552.597","376,451.951"
Private nonfarm,Indiana,All workers,Labor compensation,Millions of current dollars,"131,114.009","130,984.228","121,117.885","124,987.483","130,370.906","136,935.386","141,352.829","147,641.041","155,331.347","159,797.465","166,020.307","173,108.075","179,531.864","180,673.394","199,173.536","220,258.144"
Private nonfarm,Indiana,All workers,Real hourly compensation,2012 dollars per hour worked,32.692,32.699,32.569,32.242,32.191,32.627,32.458,32.666,33.875,34.119,34.583,34.400,34.379,36.684,36.015,35.993
Private nonfarm,Indiana,All workers,Hourly compensation,Current dollars per hour worked,27.220,28.283,28.202,28.609,29.242,30.318,30.696,31.414,32.205,32.819,33.500,34.804,35.447,37.911,39.353,42.549
Private nonfarm,Indiana,All workers,Labor productivity,% Change from previous year,N.A.,3.1,-1.6,6.3,-1.7,-0.3,0.0,1.6,-3.3,1.1,-0.3,3.3,-1.1,1.8,0.9,-0.4
Private nonfarm,Indiana,All workers,Real value-added output,% Change from previous year,N.A.,-0.8,-8.7,8.2,0.4,1.0,2.0,3.7,-0.8,2.0,1.5,3.7,0.8,-4.2,7.1,1.9
Private nonfarm,Indiana,All workers,Hours worked,% Change from previous year,N.A.,-3.9,-7.3,1.7,2.0,1.3,2.0,2.1,2.6,0.9,1.8,0.4,1.8,-5.9,6.2,2.3
Private nonfarm,Indiana,All workers,Employment,% Change from previous year,N.A.,-2.6,-5.7,-0.2,2.1,1.0,2.8,1.5,2.6,1.1,1.1,1.0,1.2,-5.2,4.9,3.2
Private nonfarm,Indiana,All workers,Output per worker,% Change from previous year,N.A.,1.8,-3.2,8.4,-1.8,-0.1,-0.8,2.2,-3.3,1.0,0.4,2.7,-0.4,1.0,2.1,-1.3
Private nonfarm,Indiana,All workers,Real hourly compensation,% Change from previous year,N.A.,0.0,-0.4,-1.0,-0.2,1.4,-0.5,0.6,3.7,0.7,1.4,-0.5,-0.1,6.7,-1.8,-0.1
Private nonfarm,Indiana,All workers,Hourly compensation,% Change from previous year,N.A.,3.9,-0.3,1.4,2.2,3.7,1.2,2.3,2.5,1.9,2.1,3.9,1.8,7.0,3.8,8.1
Private nonfarm,Indiana,All workers,Value-added output,% Change from previous year,N.A.,0.8,-5.7,8.7,2.7,3.8,3.3,5.8,1.5,2.7,3.1,6.0,2.3,-3.4,11.6,10.2
Private nonfarm,Indiana,All workers,Value-added output price deflator,% Change from previous year,N.A.,1.6,3.4,0.5,2.4,2.8,1.3,2.0,2.4,0.7,1.7,2.2,1.5,0.8,4.2,8.2
Private nonfarm,Indiana,All workers,Labor compensation,% Change from previous year,N.A.,-0.1,-7.5,3.2,4.3,5.0,3.2,4.4,5.2,2.9,3.9,4.3,3.7,0.6,10.2,10.6
Private nonfarm,Indiana,All workers,Real labor compensation,% Change from previous year,N.A.,-3.8,-7.6,0.7,1.9,2.7,1.4,2.7,6.4,1.7,3.2,-0.2,1.8,0.4,4.3,2.2
Private nonfarm,Indiana,All workers,Unit labor costs,% Change from previous year,N.A.,0.7,1.3,-4.6,3.9,4.0,1.2,0.7,6.0,0.8,2.4,0.6,2.9,5.1,2.9,8.5
Private nonfarm,Iowa,All workers,Labor productivity,Index (2012=100),97.545,96.660,97.229,98.580,98.089,100.000,97.366,101.356,104.530,103.629,103.408,105.526,104.913,110.744,114.527,115.109
Private nonfarm,Iowa,All workers,Real value-added output,Index (2012=100),98.672,95.580,91.492,94.882,94.941,100.000,98.340,105.362,109.354,108.237,108.391,110.078,110.907,110.171,116.295,117.938
Private nonfarm,Iowa,All workers,Hours worked,Index (2012=100),101.155,98.883,94.100,96.249,96.791,100.000,101.000,103.953,104.615,104.447,104.819,104.314,105.714,99.482,101.544,102.458
Private nonfarm,Iowa,All workers,Employment,Index (2012=100),101.405,100.419,97.910,97.873,98.599,100.000,101.045,101.448,103.738,104.241,103.860,103.948,105.222,99.551,100.958,103.721
Private nonfarm,Iowa,All workers,Output per worker,Index (2012=100),97.305,95.181,93.445,96.944,96.290,100.000,97.323,103.858,105.413,103.833,104.362,105.897,105.403,110.667,115.192,113.707
Private nonfarm,Iowa,All workers,Real hourly compensation,Index (2012=100),102.151,102.967,103.701,99.697,100.513,100.000,98.878,98.991,105.608,106.648,108.375,107.142,107.780,115.749,115.100,115.545
